,formula,element1,element2
3080,Se4N4,Se,N
3081,Se4S4,Se,S
3082,SeBr4,Se,Br
3083,SeO2,Se,O
3084,SeO3,Se,O
3085,SnH4,Sn,H
3086,Sn3As2,Sn,As
3087,SnI2,Sn,I
3088,SnI4,Sn,I
3089,SnTe,Sn,Te
3090,SnF2,Sn,F
3091,SnF4,Sn,F
3092,SnS,Sn,S
3093,SnS2,Sn,S
3094,SnCl2,Sn,Cl
3095,SnCl4,Sn,Cl
3096,SnSe,Sn,Se
3097,SnSe2,Sn,Se
3098,SnBr2,Sn,Br
3099,SnBr4,Sn,Br
3100,SnO,Sn,O
3101,SnO2,Sn,O
3102,SnP,Sn,P
3103,SnP3,Sn,P
3104,Sn4P3,Sn,P
3105,XeF2,Xe,F
3106,XeF6,Xe,F
3107,XeCl2,Xe,Cl
3108,XeO3,Xe,O
3109,XeF4,Xe,F
3110,XeO4,Xe,O
3111,ZnB,Zn,B
3112,ZnAs2,Zn,As
3113,Zn3Sb2,Zn,Sb
3114,ZnH2,Zn,H
3115,Zn3N2,Zn,N
3116,ZnTe,Zn,Te
3117,ZnI2,Zn,I
3118,ZnF2,Zn,F
3119,ZnO2,Zn,O
3120,ZnP2,Zn,P
3121,Zn3P2,Zn,P
3122,ZnS,Zn,S
3123,ZnCl2,Zn,Cl
3124,ZnSe,Zn,Se
3125,ZnBr2,Zn,Br
3126,ZnO,Zn,O
3127,BrF3,Br,F
3128,BrF5,Br,F
3129,BrCl,Br,Cl
3130,Br2O,Br,O
3131,BrO2,Br,O
3132,Br3O8,Br,O
3133,O2F2,O,F
3134,OF2,O,F
3135,IrF3,Ir,F
3136,IrB,Ir,B
3137,IrF5,Ir,F
3138,IrF6,Ir,F
3139,IrCl3,Ir,Cl
3140,IrCl4,Ir,Cl
3141,Ir2O3,Ir,O
3142,IrO2,Ir,O
3143,IrBr3,Ir,Br
3144,IrBr4,Ir,Br
3145,IrI3,Ir,I
3146,IrS2,Ir,S
3147,Ir2S3,Ir,S
3148,IrSe2,Ir,Se
3149,IrSe3,Ir,Se
3150,Ir2Se3,Ir,Se
3151,Ir3Se8,Ir,Se
3152,IrTe,Ir,Te
3153,IrTe2,Ir,Te
3154,Ir3Te8,Ir,Te
3155,Ir2P,Ir,P
3156,IrP2,Ir,P
3157,IrP3,Ir,P
3158,IrAs,Ir,As
3159,IrAs2,Ir,As
3160,IrAs3,Ir,As
3161,IrSb,Ir,Sb
3162,IrSb2,Ir,Sb
3163,IrSb3,Ir,Sb
3164,IrBi,Ir,Bi
3165,IrBi2,Ir,Bi
3166,IrBi3,Ir,Bi
3167,Ir2Bi,Ir,Bi
3168,IrC,Ir,C
3169,IrC2,Ir,C
3170,IrSi,Ir,Si
3171,IrSi3,Ir,Si
3172,Ir3Si,Ir,Si
3173,Ir2Si,Ir,Si
3174,Ir3Si2,Ir,Si
3175,IrGe,Ir,Ge
3176,IrGe4,Ir,Ge
3177,Ir3Ge7,Ir,Ge
3178,Ir4Ge5,Ir,Ge
3179,IrSn,Ir,Sn
3180,IrSn2,Ir,Sn
3181,Ir3Sn7,Ir,Sn
3182,IrPb,Ir,Pb
3183,IrB,Ir,B
3184,IrAl,Ir,Al
3185,IrAl3,Ir,Al
3186,Ir2Al9,Ir,Al
3187,IrGa,Ir,Ga
3188,IrGa3,Ir,Ga
3189,Ir3Ga5,Ir,Ga
3190,Ir2Ga9,Ir,Ga
3191,IrIn3,Ir,In
3192,Ir2In3,Ir,In
3193,IrBe2,Ir,Be
3194,Ir2Be17,Ir,Be
3195,IrMg3,Ir,Mg
3196,IrMg4,Ir,Mg
3197,Ir7Mg44,Ir,Mg
3198,Ir2Ca,Ir,Ca
3199,Ir2Sr,Ir,Sr
3200,Ir3Sr,Ir,Sr
3201,Ir4Zn22,Ir,Zn
3202,IrSc,Ir,Sc
3203,Ir2Sc,Ir,Sc
3204,Ir3Sc,Ir,Sc
3205,Ir2Y,Ir,Y
3206,Ir4Y,Ir,Y
3207,Ir2Y3,Ir,Y
3208,Ir2La,Ir,La
3209,Ir3La,Ir,La
3210,Ir5La,Ir,La
3211,Ir2Ce,Ir,Ce
3212,Ir3Ce,Ir,Ce
3213,Ir5Ce,Ir,Ce
3214,Ir2Pr,Ir,Pr
3215,Ir2Nd,Ir,Nd
3216,Ir2Sm,Ir,Sm
3217,Ir2Eu,Ir,Eu
3218,Ir2Gd,Ir,Gd
3219,Ir2Tb,Ir,Tb
3220,Ir2Dy,Ir,Dy
3221,Ir2Ho,Ir,Ho
3222,IrEr,Ir,Er
3223,Ir2Er,Ir,Er
3224,IrTm,Ir,Tm
3225,Ir2Tm,Ir,Tm
3226,Ir2Yb,Ir,Yb
3227,IrLu,Ir,Lu
3228,Ir2Lu,Ir,Lu
3229,Ir3Ti,Ir,Ti
3230,IrTi3,Ir,Ti
3231,IrTi,Ir,Ti
3232,IrZr,Ir,Zr
3233,Ir2Zr,Ir,Zr
3234,Ir3Zr,Ir,Zr
3235,IrHf2,Ir,Hf
3236,IrHf,Ir,Hf
3237,Ir3Hf,Ir,Hf
3238,Ir3Hf5,Ir,Hf
3239,IrTh,Ir,Th
3240,Ir2Th,Ir,Th
3241,Ir3Th,Ir,Th
3242,Ir5Th,Ir,Th
3243,IrTh7,Ir,Th
3244,IrV,Ir,V
3245,IrV3,Ir,V
3246,Ir3V,Ir,V
3247,Ir3Nb,Ir,Nb
3248,IrNb3,Ir,Nb
3249,Ir3Ta,Ir,Ta
3250,IrCr,Ir,Cr
3251,IrCr3,Ir,Cr
3252,IrMo,Ir,Mo
3253,Ir3Mo,Ir,Mo
3254,IrMo3,Ir,Mo
3255,IrW,Ir,W
3256,Ir3W,Ir,W
3257,IrU,Ir,U
3258,IrU3,Ir,U
3259,Ir2U3,Ir,U
3260,Ir2U,Ir,U
3261,Ir3U,Ir,U
3262,IrMn,Ir,Mn
3263,IrMn,Ir,Mn
3264,IrFe,Ir,Fe
3265,YH2,Y,H
3266,YH3,Y,H
3267,YTc2,Y,Tc
3268,YB2,Y,B
3269,YB4,Y,B
3270,YI3,Y,I
3271,YBi,Y,Bi
3272,Y4Bi3,Y,Bi
3273,YBe13,Y,Be
3274,YF3,Y,F
3275,Y2S3,Y,S
3276,YSe,Y,Se
3277,YSe,Y,Se
3278,YTe3,Y,Te
3279,Y2Te3,Y,Te
3280,Y2Te5,Y,Te
3281,YCl3,Y,Cl
3282,YAs,Y,As
3283,YSb,Y,Sb
3284,YSb2,Y,Sb
3285,Y4Sb3,Y,Sb
3286,YB2,Y,B
3287,YB4,Y,B
3288,YB6,Y,B
3289,YAl,Y,Al
3290,Y2Al,Y,Al
3291,YAl2,Y,Al
3292,YAl3,Y,Al
3293,Y3Al2,Y,Al
3294,YIn,Y,In
3295,YN,Y,N
3296,YP,Y,P
3297,YAs,Y,As
3298,YC,Y,C
3299,YC2,Y,C
3300,Y2C3,Y,C
3301,YSi,Y,Si
3302,YSi2,Y,Si
3303,Y5Si3,Y,Si
3304,Y3Si5,Y,Si
3305,YGe,Y,Ge
3306,YGe2,Y,Ge
3307,Y2Ge3,Y,Ge
3308,Y5Ge3,Y,Ge
3309,YBr3,Y,Br
3310,Y2O3,Y,O
3311,YbB4,Yb,B
3312,YbB6,Yb,B
3313,Yb2Se3,Yb,Se
3314,Yb3Se4,Yb,Se
3315,YbTl,Yb,Tl
3316,Yb2Tl,Yb,Tl
3317,YbIn,Yb,In
3318,YbIn3,Yb,In
3319,Yb2Po3,Yb,Po
3320,YbGe,Yb,Ge
3321,Yb5Ge3,Yb,Ge
3322,YbSi,Yb,Si
3323,YbBr2,Yb,Br
3324,YbBr3,Yb,Br
3325,YbI2,Yb,I
3326,YbI3,Yb,I
3327,Yb2O3,Yb,O
3328,Yb2S3,Yb,S
3329,YbBi,Yb,Bi
3330,YbSb,Yb,Sb
3331,YbAs,Yb,As
3332,YbN,Yb,N
3333,YbP,Yb,P
3334,YbC2,Yb,C
3335,Yb2C3,Yb,C
3336,YbBe13,Yb,Be
3337,YbH2,Yb,H
3338,YbF3,Yb,F
3339,YbCl3,Yb,Cl
3340,YbCl2,Yb,Cl
3341,Yb2O3,Yb,O
3342,InN,In,N
3343,In2Te3,In,Te
3344,InF3,In,F
3345,InBr,In,Br
3346,InBr3,In,Br
3347,InI,In,I
3348,InI3,In,I
3349,InP,In,P
3350,InCl2,In,Cl
3351,InS,In,S
3352,In2S,In,S
3353,In2S3,In,S
3354,In2Se,In,Se
3355,In2Se3,In,Se
3356,InSe,In,Se
3357,InTe,In,Te
3358,In2Te,In,Te
3359,In2Te3,In,Te
3360,InCl3,In,Cl
3361,InAs,In,As
3362,InSb,In,Sb
3363,In2O3,In,O
3364,AuAg,Au,Ag
3365,AgH,Ag,H
3366,Ag3As,Ag,As
3367,Ag2Se,Ag,Se
3368,AgB2,Ag,B
3369,AgP2,Ag,P
3370,AgP3,Ag,P
3371,Ag2Al,Ag,Al
3372,AgBe2,Ag,Be
3373,AgN3,Ag,N
3374,Ag2C2,Ag,C
3375,AgI,Ag,I
3376,AgF,Ag,F
3377,Ag2F,Ag,F
3378,AgF2,Ag,F
3379,Ag2S,Ag,S
3380,AgCl,Ag,Cl
3381,AgTe,Ag,Te
3382,Ag2Sb,Ag,Sb
3383,AgBr,Ag,Br
3384,AgO,Ag,O
3385,Ag2O,Ag,O
3386,Ag2O2,Ag,O
3387,Ag2O3,Ag,O
3388,AgZr,Ag,Zr
3389,AgZr2,Ag,Zr
3390,UB2,U,B
3391,UB4,U,B
3392,U2Tc,U,Tc
3393,UAl2,U,Al
3394,UAl3,U,Al
3395,UAl4,U,Al
3396,UAl5,U,Al
3397,UGa,U,Ga
3398,UGa2,U,Ga
3399,UGa3,U,Ga
3400,UTl3,U,Tl
3401,UMn2,U,Mn
3402,U6Mn,U,Mn
3403,U2Ti,U,Ti
3404,UFe2,U,Fe
3405,U6Fe,U,Fe
3406,UCo,U,Co
3407,UCo2,U,Co
3408,U6Co,U,Co
3409,UNi2,U,Ni
3410,UNi5,U,Ni
3411,UNi6,U,Ni
3412,UPd3,U,Pd
3413,UOs2,U,Os
3414,UIr2,U,Ir
3415,UIr3,U,Ir
3416,U2Zn17,U,Zn
3417,UHg2,U,Hg
3418,UHg3,U,Hg
3419,UHg4,U,Hg
3420,UCu5,U,Cu
3421,UN,U,N
3422,UN2,U,N
3423,U2N3,U,N
3424,UC,U,C
3425,U2C3,U,C
3426,UC2,U,C
3427,USi,U,Si
3428,U3Si,U,Si
3429,U3Si2,U,Si
3430,UGe2,U,Ge
3431,UGe3,U,Ge
3432,U7Ge,U,Ge
3433,Sn3U,Sn,U
3434,Sn4U5,Sn,U
3435,UBe13,U,Be
3436,UB2,U,B
3437,UC,U,C
3438,UC2,U,C
3439,U3O8,U,O
3440,UI3,U,I
3441,UI4,U,I
3442,UO4,U,O
3443,UF4,U,F
3444,UF6,U,F
3445,UCl3,U,Cl
3446,UCl4,U,Cl
3447,UCl5,U,Cl
3448,UCl6,U,Cl
3449,UH3,U,H
3450,UBr3,U,Br
3451,UBr4,U,Br
3452,UO2,U,O
3453,UO3,U,O
3454,UP,U,P
3455,UP2,U,P
3456,U3P4,U,P
3457,US,U,S
3458,US2,U,S
3459,USe,U,Se
3460,USe3,U,Se
3461,USi,U,Si
3462,USi2,U,Si
3463,USi3,U,Si
3464,UTe,U,Te
3465,UTe2,U,Te
3466,UTe3,U,Te
3467,U3Te4,U,Te
3468,UN,U,N
3469,UN2,U,N
3470,U2N3,U,N
3471,UAs,U,As
3472,UAs2,U,As
3473,USb,U,Sb
3474,USb2,U,Sb
3475,U4Sb3,U,Sb
3476,U3Sb4,U,Sb
3477,UBi,U,Bi
3478,UBi2,U,Bi
3479,U3Bi4,U,Bi
3480,EuTe,Eu,Te
3481,EuH2,Eu,H
3482,EuAl2,Eu,Al
3483,EuTl,Eu,Tl
3484,Eu2Tl,Eu,Tl
3485,EuTl3,Eu,Tl
3486,Eu2Po3,Eu,Po
3487,EuSi,Eu,Si
3488,EuSe,Eu,Se
3489,EuGe,Eu,Ge
3490,Eu5Ge3,Eu,Ge
3491,EuB4,Eu,B
3492,EuB6,Eu,B
3493,EuBr2,Eu,Br
3494,EuBr3,Eu,Br
3495,EuI2,Eu,I
3496,EuI3,Eu,I
3497,EuS,Eu,S
3498,Eu2S3,Eu,S
3499,Eu2O3,Eu,O
3500,EuBi,Eu,Bi
3501,EuSb,Eu,Sb
3502,EuAs,Eu,As
3503,EuN,Eu,N
3504,EuP,Eu,P
3505,EuC2,Eu,C
3506,Eu2C3,Eu,C
3507,EuBe13,Eu,Be
3508,EuCl3,Eu,Cl
3509,EuCl2,Eu,Cl
3510,EuF2,Eu,F
3511,EuF3,Eu,F
3512,Eu2O3,Eu,O
3513,Ge3N4,Ge,N
3514,GeTe,Ge,Te
3515,Ge2Te3,Ge,Te
3516,GeI2,Ge,I
3517,GeI4,Ge,I
3518,GeF2,Ge,F
3519,GeF4,Ge,F
3520,GeS2,Ge,S
3521,GeS,Ge,S
3522,GeP,Ge,P
3523,GeP3,Ge,P
3524,GeCl2,Ge,Cl
3525,GeCl4,Ge,Cl
3526,GeH4,Ge,H
3527,GeSe2,Ge,Se
3528,GeSe,Ge,Se
3529,GeBr2,Ge,Br
3530,GeBr4,Ge,Br
3531,GeO2,Ge,O
3532,GeO,Ge,O
3533,Ge2H6,Ge,H
3534,NaAu,Na,Au
3535,KAu,K,Au
3536,RbAu,Rb,Au
3537,CsAu,Cs,Au
3538,AuPd,Au,Pd
3539,AuPt,Au,Pt
3540,AuRh,Au,Rh
3541,AuIr,Au,Ir
3542,AuSb,Au,Sb
3543,AuAg,Au,Ag
3544,AuTe2,Au,Te
3545,HgNa,Hg,Na
3546,HgAl,Hg,Al
3547,HgZn,Hg,Zn
3548,HgPt,Hg,Pt
3549,AgHg,Ag,Hg
3550,Ag2Hg3,Ag,Hg
3551,HgPb2,Hg,Pb
3552,Hg3U,Hg,U
3553,HgZr3,Hg,Zr
3554,Hg2Sr3,Hg,Sr
3555,HgTi3,Hg,Ti
3556,Hg2K,Hg,K
3557,Hg11Rb,Hg,Rb
3558,Hg4Pd,Hg,Pd
3559,Hg2Rh,Hg,Rh
3560,HgTl,Hg,Tl
3561,Ag2Hg3,Ag,Hg
3562,HgTe,Hg,Te
3563,HgSe,Hg,Se
3564,Ir2Os,Ir,Os
3565,Pd2Pt,Pd,Pt
3566,Pt2Ir,Pt,Ir
3567,PtRh,Pt,Rh
3568,PtFe2,Pt,Fe
3569,PtCo,Pt,Co
3570,NiPt,Ni,Pt
3571,PtNi,Pt,Ni
3572,PtAu,Pt,Au
3573,PtAg,Pt,Ag
3574,BiPt,Bi,Pt
3575,PtTe,Pt,Te
3576,Pt3Sn2,Pt,Sn
3577,PtSb,Pt,Sb
3578,PtTe,Pt,Te
3579,PtAs2,Pt,As
3580,Ru3Fe,Ru,Fe
3581,Pd3Sb,Pd,Sb
3582,Pd3Sn2,Pd,Sn
3583,Pd2Bi,Pd,Bi
3584,Pd3As,Pd,As
3585,PdTe2,Pd,Te
3586,Pd2Se,Pd,Se
3587,PdHg,Pd,Hg
3588,Ag2Te,Ag,Te
3589,Ag6Bi,Ag,Bi
3590,AgSb,Ag,Sb
3591,Ag2Se,Ag,Se
3592,NiAs3,Ni,As
3593,NiTe2,Ni,Te
3594,FeNi,Fe,Ni
3595,PbFe,Pb,Fe
3596,NiSb,Ni,Sb
3597,Cu2As,Cu,As
3598,Cu3Te2,Cu,Te
3599,Cu2Te,Cu,Te
3600,PbTe,Pb,Te
3601,NaPb,Na,Pb
3602,FeTe,Fe,Te
3603,FeAs,Fe,As
3604,MoFe2,Mo,Fe
3605,WFe2,W,Fe
3606,NbFe2,Nb,Fe
3607,TiFe2,Ti,Fe
3608,Ni3Se4,Ni,Se
3609,Cu3Se,Cu,Se
3610,CdSe,Cd,Se
3611,Cu3Se4,Cu,Se
3612,CoAs2,Co,As
3613,Bi2Te3,Bi,Te
3614,Bi2Se3,Bi,Se
3615,Cu3Sn,Cu,Sn
3616,Al2Zn3,Al,Zn
3617,CuZn,Cu,Zn
3618,Fe5Zn21,Fe,Zn
3619,MgZn2,Mg,Zn
3620,Cu5Zn8,Cu,Zn
3621,Ag3Al,Ag,Al
3622,Cu9Al4,Cu,Al
3623,TiAl,Ti,Al
3624,NiAl,Ni,Al
3625,FeAl,Fe,Al
3626,Al11Mn4,Al,Mn
3627,Ag3Al,Ag,Al
3628,AlPt,Al,Pt
3629,AlAu4,Al,Au
3630,AlCo,Al,Co
3631,AlCr,Al,Cr
3632,AlEr2,Al,Er
3633,AlGd,Al,Gd
3634,AlLa,Al,La
3635,AlMo3,Al,Mo
3636,AlNb2,Al,Nb
3637,AlPd,Al,Pd
3638,AlSm,Al,Sm
3639,AlTa2,Al,Ta
3640,AlTb,Al,Tb
3641,AlTh2,Al,Th
3642,AlV3,Al,V
3643,AlZr3,Al,Zr
3644,Al2Dy,Al,Dy
3645,Al2U,Al,U
3646,Al2Y3,Al,Y
3647,Al3Ce,Al,Ce
3648,Al3Hf,Al,Hf
3649,Al3Ho,Al,Ho
3650,Al3Mg2,Al,Mg
3651,Al3Yb,Al,Yb
3652,Al12W,Al,W
3653,AlNd2,Al,Nd
3654,AlRu,Al,Ru
3655,Al2Ca,Al,Ca
3656,Al2Sc,Al,Sc
3657,NaZn13,Na,Zn
3658,NaY,Na,Y
3659,AgLi,Ag,Li
3660,KLi,K,Li
3661,LiRb,Li,Rb
3662,LiZn,Li,Zn
3663,LiNa,Li,Na
3664,LiMg,Li,Mg
3665,Li2Pd,Li,Pd
3666,Li2Pt,Li,Pt
3667,Li4Pb,Li,Pb
3668,Hg3Li,Hg,Li
3669,LiNi,Li,Ni
3670,LiTi,Li,Ti
3671,LiSc,Li,Sc
3672,LiV,Li,V
3673,LiTa3,Li,Ta
3674,LiSr7,Li,Sr
3675,LiMn,Li,Mn
3676,KRb2,K,Rb
3677,KZn,K,Zn
3678,AgK,Ag,K
3679,K5Na2,K,Na
3680,NaRb,Na,Rb
3681,RbZn13,Rb,Zn
3682,CsLi,Cs,Li
3683,CsNa,Cs,Na
3684,AuCs,Au,Cs
3685,CsK,Cs,K
3686,CsRb,Cs,Rb
3687,CsHg2,Cs,Hg
3688,Cs4Pb9,Cs,Pb
3689,CsFr,Cs,Fr
3690,Cs2Pt,Cs,Pt
3691,FrNa,Fr,Na
3692,FrLi,Fr,Li
3693,FrK,Fr,K
3694,FrRb,Fr,Rb
3695,Be12Nb,Be,Nb
3696,Be13Ce,Be,Ce
3697,Be13Gd,Be,Gd
3698,Be13U,Be,U
3699,BeCu,Be,Cu
3700,Be2Cr,Be,Cr
3701,Be12Ti,Be,Ti
3702,Be2Fe,Be,Fe
3703,Be12V,Be,V
3704,BeLi,Be,Li
3705,BeTa,Be,Ta
3706,BeMg,Be,Mg
3707,BeNa,Be,Na
3708,BePd2,Be,Pd
3709,AuBe,Au,Be
3710,BeCu2,Be,Cu
3711,Be2Zr,Be,Zr
3712,BeZn,Be,Zn
3713,BeK,Be,K
3714,Be2Co5,Be,Co
3715,AgMg,Ag,Mg
3716,MgY,Mg,Y
3717,MgZn2,Mg,Zn
3718,Mg2Pb,Mg,Pb
3719,Mg2Tb,Mg,Tb
3720,Mg2Yb,Mg,Yb
3721,Mg3Nd,Mg,Nd
3722,MgNi2,Mg,Ni
3723,MgTm,Mg,Tm
3724,Mg6Pd,Mg,Pd
3725,MgPt3,Mg,Pt
3726,KMg,K,Mg
3727,Mg2Pm,Mg,Pm
3728,Mg2Sr,Mg,Sr
3729,MgTi,Mg,Ti
3730,MgRh,Mg,Rh
3731,Mg3Ru,Mg,Ru
3732,Mg11Sm,Mg,Sm
3733,MgNa6,Mg,Na
3734,Mg3Re,Mg,Re
3735,MgW4,Mg,W
3736,CaCu5,Ca,Cu
3737,CaPb3,Ca,Pb
3738,CaMg2,Ca,Mg
3739,CaZn2,Ca,Zn
3740,CaNi5,Ca,Ni
3741,AgCa,Ag,Ca
3742,Ca3Hg2,Ca,Hg
3743,AuCa,Au,Ca
3744,CaPd2,Ca,Pd
3745,CaLi,Ca,Li
3746,CaNa,Ca,Na
3747,CaK,Ca,K
3748,CaCo2,Ca,Co
3749,CaFe,Ca,Fe
3750,BaCu,Ba,Cu
3751,BaPd3,Ba,Pd
3752,BaHg11,Ba,Hg
3753,Ba5Bi3,Ba,Bi
3754,BaZn13,Ba,Zn
3755,BaPb,Ba,Pb
3756,BaNa,Ba,Na
3757,BaLi,Ba,Li
3758,BaMg2,Ba,Mg
3759,Ag5Ba,Ag,Ba
3760,AuBa,Au,Ba
3761,BaPt,Ba,Pt
3762,SrZn13,Sr,Zn
3763,SrZn,Sr,Zn
3764,GaV,Ga,V
3765,GaNb3,Ga,Nb
3766,SnV3,Sn,V
3767,PbNa,Pb,Na
3768,Cu4Sb,Cu,Sb
3769,BiCm,Bi,Cm
3770,BiDy,Bi,Dy
3771,BiGd,Bi,Gd
3772,BiHo,Bi,Ho
3773,BiNa3,Bi,Na
3774,BiTb,Bi,Tb
3775,BiTm,Bi,Tm
3776,BiYb,Bi,Yb
3777,Bi2U,Bi,U
3778,Bi2Zr,Bi,Zr
3779,BiK3,Bi,K
3780,BiPd,Bi,Pd
3781,Bi2Ce,Bi,Ce
3782,Bi2Mg3,Bi,Mg
3783,BiEr,Bi,Er
3784,BiLa,Bi,La
3785,BiNd,Bi,Nd
3786,Bi2Pt,Bi,Pt
3787,Bi3Eu4,Bi,Eu
3788,Bi3Ni,Bi,Ni
3789,BiLi3,Bi,Li
3790,BiY,Bi,Y
3791,Bi2Rh,Bi,Rh
3792,Bi3Sr,Bi,Sr
3793,BiTi,Bi,Ti
3794,BiRb3,Bi,Rb
3795,BiTh2,Bi,Th
3796,Bi2Cs,Bi,Cs
3797,Bi3Tb4,Bi,Tb
3798,Bi2Sm,Bi,Sm
3799,BiCa,Bi,Ca
3800,Bi3Pb7,Bi,Pb
3801,BiCr,Bi,Cr
3802,Bi2Rb,Bi,Rb
3803,BiPu,Bi,Pu
3804,BiCu5,Bi,Cu
3805,Bi9Hf8,Bi,Hf
3806,BiRu,Bi,Ru
3807,Au2Bi,Au,Bi
3808,BiIr2,Bi,Ir
3809,AgSc,Ag,Sc
3810,ScTi,Sc,Ti
3811,ScZn12,Sc,Zn
3812,ScV,Sc,V
3813,TiU2,Ti,U
3814,TiZn3,Ti,Zn
3815,TiW,Ti,W
3816,TiV,Ti,V
3817,TiZr,Ti,Zr
3818,VZn3,V,Zn
3819,VZr,V,Zr
3820,Cr2Nb,Cr,Nb
3821,Cr2Ta,Cr,Ta
3822,Cr2Ti,Cr,Ti
3823,CoCr,Co,Cr
3824,CrFe,Cr,Fe
3825,CrNi2,Cr,Ni
3826,Cr2Hf,Cr,Hf
3827,Cr2Zr,Cr,Zr
3828,Cr2Ru,Cr,Ru
3829,Cr3Pt,Cr,Pt
3830,CrCu,Cr,Cu
3831,Au4Cr,Au,Cr
3832,CrMo,Cr,Mo
3833,CrIr3,Cr,Ir
3834,AgCr,Ag,Cr
3835,CrV,Cr,V
3836,CrZn,Cr,Zn
3837,Cr2Re3,Cr,Re
3838,CrSc,Cr,Sc
3839,CrPd,Cr,Pd
3840,CrLi,Cr,Li
3841,CrMn3,Cr,Mn
3842,Cr2Sm3,Cr,Sm
3843,Hg5Mn2,Hg,Mn
3844,MnZn,Mn,Zn
3845,Mn2Y,Mn,Y
3846,MnNi3,Mn,Ni
3847,Mn2Sm,Mn,Sm
3848,Mn2Ti,Mn,Ti
3849,Mn2U,Mn,U
3850,Mn2Zr,Mn,Zr
3851,MnPd3,Mn,Pd
3852,Mn3Pt,Mn,Pt
3853,AgMn,Ag,Mn
3854,Mn2Tb,Mn,Tb
3855,MnV,Mn,V
3856,Mn12Th,Mn,Th
3857,Mn2Sc,Mn,Sc
3858,Mn12Nd,Mn,Nd
3859,MnRh,Mn,Rh
3860,FeNi3,Fe,Ni
3861,FePd,Fe,Pd
3862,FeTi2,Fe,Ti
3863,FeU6,Fe,U
3864,FeZn7,Fe,Zn
3865,Fe2Lu,Fe,Lu
3866,Fe2Mo,Fe,Mo
3867,Fe2Nb,Fe,Nb
3868,Fe2Nd,Fe,Nd
3869,Fe2Pu,Fe,Pu
3870,Fe2Sc,Fe,Sc
3871,Fe2Sm,Fe,Sm
3872,Fe2Ta,Fe,Ta
3873,Fe2Tb,Fe,Tb
3874,Fe2Tm,Fe,Tm
3875,Fe2W,Fe,W
3876,Fe2Y,Fe,Y
3877,Fe2Zr,Fe,Zr
3878,FeRh,Fe,Rh
3879,Fe3Th7,Fe,Th
3880,FePt3,Fe,Pt
3881,FeMn3,Fe,Mn
3882,Fe17Yb2,Fe,Yb
3883,FeV,Fe,V
3884,FeMg2,Fe,Mg
3885,FeRu,Fe,Ru
3886,Ag4Fe4,Ag,Fe
3887,Co7Gd2,Co,Gd
3888,CoHf,Co,Hf
3889,CoLa3,Co,La
3890,CoSc,Co,Sc
3891,CoV3,Co,V
3892,Co2Dy,Co,Dy
3893,Co2Er,Co,Er
3894,Co2Ho,Co,Ho
3895,Co2Lu,Co,Lu
3896,CO2Nb,Co,Nb
3897,Co2Nd,Co,Nd
3898,Co2Sm,Co,Sm
3899,Co2Tb,Co,Tb
3900,Co2Tm,Co,Tm
3901,Co2Y,Co,Y
3902,Co5Th,Co,Th
3903,Co7W6,Co,W
3904,CoMn,Co,Mn
3905,CoPt,Co,Pt
3906,Co2Ti,Co,Ti
3907,Co2Yb,Co,Yb
3908,Co2Zr,Co,Zr
3909,Co3Mo,Co,Mo
3910,Co3Ta,Co,Ta
3911,Co3Fe,Co,Fe
3912,Co5Zn21,Co,Zn
3913,CoNi3,Co,Ni
3914,Co3U,Co,U
3915,CO2Mg,Co,Mg
3916,NiTa,Ni,Ta
3917,NiPd3,Ni,Pd
3918,NbNi,Nb,Ni
3919,NiSc,Ni,Sc
3920,NiTi,Ni,Ti
3921,NiY,Ni,Y
3922,NiZn,Ni,Zn
3923,Ni2Tb,Ni,Tb
3924,Ni2V,Ni,V
3925,Ni5Tm,Ni,Tm
3926,Ni5Zr,Ni,Zr
3927,NiSm3,Ni,Sm
3928,Ni5U,Ni,U
3929,Ni3Pt,Ni,Pt
3930,Ni3W,Ni,W
3931,Ni5Y,Ni,Y
3932,Ni2Th,Ni,Th
3933,AgNi,Ag,Ni
3934,NiK,Ni,K
3935,Ni3Pu,Ni,Pu
3936,NiPb10,Ni,Pb
3937,Na4Ni,Na,Ni
3938,Cu5La,Cu,La
3939,Cu5Nd,Cu,Nd
3940,CuFe,Cu,Fe
3941,CuSr,Cu,Sr
3942,AuCu,Au,Cu
3943,CuDy,Cu,Dy
3944,CuEr,Cu,Er
3945,CuGd,Cu,Gd
3946,CuPt,Cu,Pt
3947,CuSc,Cu,Sc
3948,CuSm,Cu,Sm
3949,CuTi,Cu,Ti
3950,CuTm,Cu,Tm
3951,CuY,Cu,Y
3952,CuZr2,Cu,Zr
3953,CuZn,Cu,Zn
3954,CuMg2,Cu,Mg
3955,Cu3Pt,Cu,Pt
3956,CuEu,Cu,Eu
3957,Cu5U,Cu,U
3958,AgCu,Ag,Cu
3959,Cu3Pd,Cu,Pd
3960,CuMn,Cu,Mn
3961,CuNi,Cu,Ni
3962,Cu2Yb,Cu,Yb
3963,Cu5Ho,Cu,Ho
3964,Cu5Tb,Cu,Tb
3965,Cu5Hf,Cu,Hf
3966,CuNa,Cu,Na
3967,Cu2Th,Cu,Th
3968,Zn2Zr,Zn,Zr
3969,YZn,Y,Zn
3970,NbPd3,Nb,Pd
3971,NbRh3,Nb,Rh
3972,NbZr,Nb,Zr
3973,NbV,Nb,V
3974,NbPt3,Nb,Pt
3975,NbTa,Nb,Ta
