number,name,type,radioactive,x_alpha,x_alpha_1990,x_ar,x_ar_1958,x_ar_we,x_p,x_s,x_s_1989,x_s_we,x_sa,x_mj,x_mj_s,x_mj_sp,x_mj_sp2,x_mj_sp3,x_p_kd,x_mj_kd,x_sa_kd,x_ar_kd,ce_ev_kd,x_ce_kd,x_s_kd,x_a_kd,x_be_kd,x_gg_ev_kd,x_alpha_kd,x_pa_ev_kd,x_sm_kd,ch_ev_kd
25,Mn,4,F,1.36,1.36,1.6,1.6,1.6,1.55,1.75,NA,NA,2.2,NA,NA,NA,NA,NA,1.55,NA,4.36,1.6,10.34,1.75,NA,1.55,NA,3.4349,1.36,3.72,1.85,3.72
26,Fe,4,F,1.4,1.4,1.64,1.64,1.64,1.83,1.8,NA,NA,2.2,NA,NA,NA,NA,NA,1.96,NA,2.2,1.64,10.64,1.80 ,NA,1.83,NA,3.5836,1.4,4.06,1.9,3.81
27,Co,4,F,1.44,1.44,1.7,1.7,1.7,1.88,1.84,NA,NA,2.56,NA,NA,NA,NA,NA,1.88,NA,3.1,1.7,10.86,1.84,NA,1.88,NA,3.7305,1.44,4.3,1.8,3.6
28,Ni,4,F,1.47,1.47,1.75,1.75,1.75,1.91,1.88,NA,NA,1.94,NA,NA,NA,NA,NA,1.91,NA,3.81,1.75,11.13,1.88,NA,1.91,NA,3.8584,1.47,4.4,1.85,3.25
29,Cu,4,F,1.51,1.51,1.75,1.75,1.75,1.9,1.85,NA,NA,1.98,1.49,1.49,NA,NA,NA,2,1.49,1.98,1.75,10.96,1.85,NA,1.9,NA,4.0026,1.51,4.48,2,3.25
30,Zn,4,F,1.46,1.46,1.66,1.66,1.66,1.65,1.59,NA,NA,2.23,1.65,NA,1.65,NA,NA,1.65,1.65,2.223,1.66,9.395,1.59,NA,1.65,NA,4.1332,1.46,4.45,1.6,4.94
31,Ga,3,F,1.56,1.56,1.82,1.82,1.82,1.81,1.756,1.756,1.756,2.42,2.01,NA,NA,2.01,NA,1.81,2.01,2.419,1.82,10.39,1.756,1.756,1.81,1.75,4.6638,1.56,3.2,1.7,2.9
32,Ge,3,F,1.81,1.81,2.02,2.02,2.02,2.01,1.994,1.994,1.994,2.62,2.33,NA,NA,NA,2.33,2.01,2.33,2.618,2.02,11.8,1.994,1.994,2.01,1.99,5.1318,1.81,4.6,1.9,3.4
33,As,1,F,2.11,2.11,2.2,2.2,2.2,2.18,2.211,2.211,2.211,2.82,2.26,2.26,NA,NA,NA,2.18,2.38,2.82,2.2,13.08,2.211,2.211,2.18,2.21,5.5372,2.11,5.3,2,4.5
34,Se,1,F,2.31,2.31,2.48,2.48,2.48,2.55,2.424,2.424,2.424,3.01,2.6,2.6,NA,NA,NA,2.55,2.79,3.014,2.48,14.34,2.424,2.424,2.55,2.46,5.8746,2.31,5.89,2.2,3.87
35,Br,1,F,2.56,2.56,2.74,2.74,2.74,2.96,2.685,2.685,2.685,3.22,2.95,2.95,NA,NA,NA,2.96,2.95,3.219,2.74,15.88,2.685,2.685,2.96,2.75,6.1658,2.56,7.59,2.8,4.22
36,Kr,2,F,2.82,2.82,3.1,NA,2.94,3,2.966,2.966,2.966,2.91,3,3,NA,NA,NA,3,3.31,2.91,2.94,17.54,2.966,2.966,NA,NA,6.3916,2.82,NA,NA,NA
37,Rb,3,F,0.83,0.83,0.89,0.89,0.89,0.82,0.706,0.706,0.706,0.31,0.69,0.69,NA,NA,NA,0.82,0.69,0.312,0.89,4.177,0.706,0.706,0.82,NA,2.0135,0.83,2.34,0.8,1.85
38,Sr,3,F,1.06,1.06,0.99,0.99,0.99,0.95,0.963,0.963,0.963,0.72,1,NA,1,NA,NA,0.95,1,0.721,0.99,5.695,0.963,0.963,0.95,NA,2.5849,1.06,2,1,3.7
39,Y,4,F,1.11,1.11,1.1,1.11,1.11,1.22,1.12,NA,NA,0.65,NA,NA,NA,NA,NA,1.22,NA,0.65,1.11,6.631,1.12,NA,1.22,NA,2.7237,1.11,3.19,1.2,3.19
40,Zr,4,F,1.17,1.17,1.22,NA,1.22,1.33,1.32,NA,NA,0.9,NA,NA,NA,NA,NA,1.33,NA,0.9,1.22,7.808,1.32,NA,1.33,NA,2.8489,1.17,3.64,1.5,3.21
41,Nb,4,F,1.21,1.21,1.23,NA,1.23,1.6,1.41,NA,NA,1.42,NA,NA,NA,NA,NA,1.6,NA,1.42,1.23,8.34,1.41,NA,NA,NA,2.974,1.21,4,1.8,3
42,Mo,4,F,1.26,1.26,1.3,NA,1.3,2.16,1.47,NA,NA,1.15,NA,NA,NA,NA,NA,2.35,NA,2.2,1.3,8.71,1.47,NA,2.16,NA,3.0992,1.26,3.9,2.3,3.1
43,Tc,4,T,1.3,1.3,1.36,NA,1.36,1.9,1.51,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,1.36,8.94,1.51,NA,NA,NA,3.2244,1.3,NA,NA,NA
44,Ru,4,F,1.35,1.35,1.42,NA,1.42,2.2,1.54,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.42,9.1,1.54,NA,NA,NA,3.336,1.35,4.5,NA,3
45,Rh,4,F,1.39,1.39,1.45,NA,1.45,2.28,1.56,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA,NA,1.45,9.259,1.56,NA,2.28,NA,3.4611,1.39,4.3,NA,3.16
46,Pd,4,F,1.61,1.61,1.35,NA,1.35,2.2,1.59,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.35,9.402,1.58,NA,2.2,NA,3.5727,1.61,4.45,2.1,3.89
47,Ag,4,F,1.45,1.45,1.42,1.42,1.42,1.93,1.87,NA,NA,1.83,1.47,1.47,NA,NA,NA,1.93,1.47,1.826,1.42,11.05,1.87,NA,1.93,NA,3.6842,1.45,4.44,1.9,3.14
48,Cd,4,F,1.45,1.45,1.46,1.46,1.46,1.69,1.52,NA,NA,1.98,1.53,NA,1.53,NA,NA,1.69,1.53,1.98,1.46,8.995,1.52,NA,1.69,NA,3.7958,1.45,4.33,1.65,4.66
49,In,4,F,1.52,1.52,1.49,1.49,1.49,1.78,1.656,1.656,1.656,2.14,1.76,NA,NA,1.76,NA,1.78,1.76,2.138,1.49,9.793,1.656,1.656,1.78,NA,4.253,1.52,3.1,1.7,2.8
50,Sn,4,F,1.7,1.7,1.72,1.72,1.72,1.96,1.824,1.824,1.824,1.49,2.21,NA,NA,NA,2.21,1.96,2.21,2.298,1.72,10.79,1.824,1.824,1.96,NA,4.672,1.7,4.3,1.95,3.05
51,Sb,4,F,1.88,1.88,1.82,1.82,1.82,2.05,1.984,1.984,1.984,2.46,2.12,2.12,NA,NA,NA,2.05,2.22,2.458,1.82,11.74,1.984,1.984,2.05,NA,5.0203,1.88,4.85,2.1,3.8
